case_id,theme,doc_symbol,case_type,selection_note,rcid,year,unres,short,descr,issue,title_key,vote_brazil,vote_china,convergence,document_url,vote_record_url,evidence_available,source
N4,Moratorium on the death penalty,A/RES/65/206,negativo - pos-divergencia,Comparable recurring resolution remains divergent after 2009.,5100,2010,R/65/206,HUMAN RIGHTS ADVANCEMENT,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,Human rights,moratorium on the use of the death penalty,yes,no,divergente,https://docs.un.org/en/A/RES/65/206,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F65%2F206,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N4,Moratorium on the death penalty,A/RES/67/176,negativo - pos-divergencia,Comparable recurring resolution remains divergent after 2009.,5239,2012,R/67/176,HUMAN RIGHTS ADVANCEMENT,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,Human rights,moratorium on the use of the death penalty,yes,no,divergente,https://docs.un.org/en/A/RES/67/176,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F67%2F176,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P1,ICJ advisory opinion on nuclear weapons,A/RES/63/49,positivo - pre-divergencia,Brazil yes / China abstain before 2009.,4856,2008,R/63/49,"NUCLEAR WEAPONS USE, ICJ OPINION",Follow-up to the advisory opinion of the International Court of Justice on the Legality of the Threat or Use of Nuclear Weapons : resolution / adopted by the General Assembly,Arms control and disarmament; Nuclear weapons and nuclear material,follow up to the advisory opinion of the international court of justice on the legality of the threat or use of nuclear weapons,yes,abstain,divergente,https://docs.un.org/en/A/RES/63/49,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F63%2F49,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P1,ICJ advisory opinion on nuclear weapons,A/RES/64/55,positivo - pos-convergencia,Comparable recurring resolution; both voted yes after 2009.,5001,2009,R/64/55,"NUCLEAR WEAPONS USE, ICJ OPINION",Follow-up to the advisory opinion of the International Court of Justice on the Legality of the Threat or Use of Nuclear Weapons : resolution / adopted by the General Assembly,Arms control and disarmament; Nuclear weapons and nuclear material,follow up to the advisory opinion of the international court of justice on the legality of the threat or use of nuclear weapons,yes,yes,convergente,https://docs.un.org/en/A/RES/64/55,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F64%2F55,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P1,ICJ advisory opinion on nuclear weapons,A/RES/65/76,positivo - pos-convergencia,Comparable recurring resolution; both voted yes after 2009.,5068,2010,R/65/76,"NUCLEAR WEAPONS USE, ICJ OPINION",Follow-up to the advisory opinion of the International Court of Justice on the Legality of the Threat or Use of Nuclear Weapons : resolution / adopted by the General Assembly,Arms control and disarmament; Nuclear weapons and nuclear material,follow up to the advisory opinion of the international court of justice on the legality of the threat or use of nuclear weapons,yes,yes,convergente,https://docs.un.org/en/A/RES/65/76,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F65%2F76,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P2,Globalization and human rights,A/RES/63/176,positivo - pre-divergencia,Brazil abstain / China yes before 2009.,4896,2008,R/63/176,HUMAN RIGHTS ADVANCEMENT,Globalization and its impact on the full employment of all human rights : resolution / adopted by the General Assembly,Human rights,globalization and its impact on the full employment of all human rights,abstain,yes,divergente,https://docs.un.org/en/A/RES/63/176,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F63%2F176,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P2,Globalization and human rights,A/RES/65/216,positivo - pos-convergencia,Comparable recurring resolution; both voted yes after 2009.,5102,2010,R/65/216,HUMAN RIGHTS ADVANCEMENT,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,Human rights,globalization and its impact on the full enjoyment of all human rights,yes,yes,convergente,https://docs.un.org/en/A/RES/65/216,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F65%2F216,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P2,Globalization and human rights,A/RES/67/165,positivo - pos-convergencia,Comparable recurring resolution; both voted yes after 2009.,5233,2012,R/67/165,HUMAN RIGHTS ADVANCEMENT,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,Human rights,globalization and its impact on the full enjoyment of all human rights,yes,yes,convergente,https://docs.un.org/en/A/RES/67/165,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F67%2F165,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P3,UN Human Rights Council reports,A/RES/63/160,positivo - pre-divergencia,Brazil abstain / China yes before 2009.,4895,2008,R/63/160,"UN HUMAN RIGHTS COUNCIL, REPORTS",Report of the Human Rights Council : resolution / adopted by the General Assembly,Human rights,report of the human rights council,abstain,yes,divergente,https://docs.un.org/en/A/RES/63/160,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F63%2F160,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P3,UN Human Rights Council reports,A/RES/65/195,positivo - pos-convergencia,Comparable Human Rights Council report; both voted yes after 2009.,5109,2010,R/65/195,"UN. HUMAN RIGHTS COUNCIL, REPORTS",Report of the Human Rights Council : resolution / adopted by the General Assembly,Human rights,report of the human rights council,yes,yes,convergente,https://docs.un.org/en/A/RES/65/195,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F65%2F195,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
P3,UN Human Rights Council reports,A/RES/66/136,positivo - pos-convergencia,Comparable Human Rights Council report; both voted yes after 2009.,5118,2011,R/66/136,UN. HUMAN RIGHTS COUNCIL--REPORTS,Report of the Human Rights Council : resolution / adopted by the General Assembly,Human rights,report of the human rights council,yes,yes,convergente,https://docs.un.org/en/A/RES/66/136,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F66%2F136,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
