iso3c,country_name,entry_year,evidence_year,source_type,source_name,source_country,language,title,publication_date,url,archive_url,raw_file,query_used,accessed_at,rank_label_original,rank_label_english,label_type,explicit_rank_language,mentions_china_rank_change,mentions_displaced_incumbent,displaced_partner_named,excerpt_under_25_words,evidence_strength,notes,metric_in_source,search_window
NZL,New Zealand,2013,2013,official_speech,New Zealand Beehive / Minister for Primary Industries,New Zealand,en,Speech to the opening of the New Zealand animal husbandry seminar,2013-07-01,https://www.beehive.govt.nz/speech/speech-opening-new-zealand-animal-husbandry-seminar-beijing,https://web.archive.org/web/20130806144320id_/http://beehive.govt.nz/speech/speech-opening-new-zealand-animal-husbandry-seminar-beijing,data/raw/status_cue_salience/extension_2026/NZL/2013/nzl_beehive_2013_07_02/20260922T224715Z.html,site:beehive.govt.nz 2013 China New Zealand largest export market Australia,2026-09-22T22:47:15+00:00,New Zealand's largest trading partner,New Zealand's largest trading partner,generic_trade_partner,true,true,true,Australia,China is now New Zealand's largest trading partner - even surpassing Australia,strong,,two_way_trade,2013-2014
VNM,Vietnam,2018,2018,national_news_agency,Voice of Vietnam,Vietnam,vi,Trung Quốc trở thành thị trường xuất khẩu lớn nhất của Việt Nam,2018-02-22,https://vov.vn/kinh-te/thi-truong/trung-quoc-tro-thanh-thi-truong-xuat-khau-lon-nhat-cua-viet-nam-732106.vov,,data/raw/status_cue_salience/extension_2026/VNM/2018/vnm_vov_2018_02/20260922T223458Z.html,Trung Quốc thị trường xuất khẩu lớn nhất Việt Nam 2018,2026-09-22T22:34:58+00:00,thị trường xuất khẩu lớn nhất của Việt Nam,Vietnam's largest export market,export_rank,true,true,true,United States,"Như vậy, Trung Quốc tạm vượt Hoa Kỳ trở thành thị trường xuất khẩu lớn nhất của Việt Nam.",strong,Headline and body explicitly refer to China provisionally passing the United States in January 2018 goods exports; full-year 2018 government totals differ.,goods_exports,2018-2019
VNM,Vietnam,2018,2018,newspaper,VnExpress,Vietnam,vi,Trung Quốc thay Mỹ là thị trường xuất khẩu lớn nhất của Việt Nam,2018-04-18,https://vnexpress.net/trung-quoc-thay-my-la-thi-truong-xuat-khau-lon-nhat-cua-viet-nam-3738343.html,,data/raw/status_cue_salience/extension_2026/VNM/2018/vnm_vnexpress_2018_04_18/20260922T223504Z.html,2018 Việt Nam thị trường xuất khẩu lớn nhất Hoa Kỳ Trung Quốc,2026-09-22T22:35:04+00:00,thị trường xuất khẩu lớn nhất của Việt Nam,Vietnam's largest export market,export_rank,true,true,true,United States,Trung Quốc thay Mỹ là thị trường xuất khẩu lớn nhất của Việt Nam,strong,Headline in April 2018 interprets IMF 2017 data; its reference year differs from the inventory first entry 2018.,goods_exports,2018-2019
VNM,Vietnam,2018,2018,official_release,Government Electronic Newspaper of Vietnam,Vietnam,vi,DN trong nước tăng trưởng xuất khẩu tích cực trong năm 2018,2018-12-27,https://baochinhphu.vn/dn-trong-nuoc-tang-truong-xuat-khau-tich-cuc-trong-nam-2018-102249966.htm,,data/raw/status_cue_salience/extension_2026/VNM/2018/vnm_baochinhphu_2018_12_27/20260922T223508Z.bin,site:baochinhphu.vn Hoa Kỳ thị trường xuất khẩu lớn nhất 2018 Trung Quốc,2026-09-22T22:35:08+00:00,Hoa Kỳ là thị trường xuất khẩu lớn nhất của Việt Nam,United States is Vietnam's largest export market,export_rank,false,false,false,,Hoa Kỳ là thị trường xuất khẩu lớn nhất của Việt Nam,weak,DO_NOT_COUNT: not approved for count; no explicit rank-language flag,goods_exports,2018-2019
UKR,Ukraine,2020,2021,national_news_agency,Ukrinform,Ukraine,en,Trade between Ukraine and China to set new record at year-end – embassy,2021-01-04,https://www.ukrinform.net/rubric-economy/3165674-trade-turnover-between-ukraine-and-china-should-set-new-record-following-2020-embassy.html,,data/raw/status_cue_salience/extension_2026/UKR/2021/ukr_ukrinform_2021_01_04/20260922T223511Z.html,site:ukrinform.net 2020 China Ukraine largest trading partner Russia,2026-09-22T22:35:11+00:00,China confidently ranks first among Ukraine's largest trading partners,China confidently ranks first among Ukraine's largest trading partners,generic_trade_partner,true,false,false,,China confidently ranks first among Ukraine's largest trading partners,strong,"Reports Ukrainian embassy statement, not a Chinese embassy source.",two_way_trade,2020-2021
UKR,Ukraine,2020,2021,newspaper,RBC Ukraine,Ukraine,uk,Рейтинг найбільших торговельних партнерів України за 2020 рік очолює Китай,2021-02-15,https://www.rbc.ua/ukr/news/kakimi-stranami-torgovala-ukraina-2020-godu-1613407144.html,https://web.archive.org/web/20220124105013id_/https://www.rbc.ua/ukr/news/kakimi-stranami-torgovala-ukraina-2020-godu-1613407144.html,data/raw/status_cue_salience/extension_2026/UKR/2021/ukr_rbc_2021_02_15/20260922T224717Z.html,Китай найбільший торговельний партнер України 2020 2021,2026-09-22T22:47:17+00:00,Рейтинг найбільших торговельних партнерів України за 2020 рік очолює Китай,China heads the ranking of Ukraine's largest trading partners for 2020,generic_trade_partner,true,false,false,,Рейтинг найбільших торговельних партнерів України за 2020 рік очолює Китай,strong,Date and full text require raw verification.,two_way_trade,2020-2021
PAN,Panama,2021,2021,newspaper,La Prensa Panamá,Panama,es,"China, principal destino de las exportaciones",2021-02-14,https://www.prensa.com/impresa/economia/china-principal-destino-de-las-exportaciones/,,data/raw/status_cue_salience/extension_2026/PAN/2021/pan_laprensa_2021_02_14/20260922T223514Z.html,site:prensa.com 2021 China principal socio comercial exportaciones Panamá,2026-09-22T22:35:14+00:00,principal destino de las exportaciones de bienes de Panamá,leading destination for Panama's goods exports,export_rank,true,true,true,Netherlands; United States,China desplazó a los Países Bajos y a Estados Unidos como el principal destino de las exportaciones de bienes de Panamá,strong,Publication in first window describes calendar-2020 transition; inventory first entry is 2021 and displaced partner is Guatemala. Timing/incumbent discrepancy documented.,goods_exports,2021-2022
PAN,Panama,2021,2022,newspaper,La Estrella de Panamá,Panama,es,"Panamá registró más de $3,500 millones en exportaciones en 2021",2022-02-07,https://www.laestrella.com.pa/economia/panama-registro-mas-3-500-millones-exportaciones-2021-PLLE464469,,data/raw/status_cue_salience/extension_2026/PAN/2022/pan_laestrella_2022_02_07/20260922T223517Z.html,site:laestrella.com.pa 2021 China principal destino exportaciones Panamá,2026-09-22T22:35:17+00:00,los principales mercados de exportación de Panamá en 2021 fueron: China Continental,Panama's principal export markets in 2021 were: mainland China [listed first],export_rank,false,false,false,,los principales mercados de exportación de Panamá en 2021 fueron: China Continental,strong,"DO_NOT_COUNT: not approved for count; no explicit rank-language flag; The ordered list and values put China first, but the text calls the listed destinations collectively principales and never labels China explicitly as first; fails the explicit-rank-language criterion.",goods_exports,2021-2022
PAN,Panama,2021,2022,newspaper,La Estrella de Panamá,Panama,es,Rosmer Jurado Van Grieken: 'Hubo un crecimiento récord de las exportaciones de bienes',2022-01-10,https://www.laestrella.com.pa/panama/nacional/rosmer-jurado-grieken-hubo-crecimiento-HLLE462702,,data/raw/status_cue_salience/extension_2026/PAN/2022/pan_laestrella_2022_01_10/20260922T231058Z.html,site:laestrella.com.pa/panama/nacional/rosmer-jurado-grieken-hubo-crecimiento-HLLE462702 China principal destino 2022,2026-09-22T23:10:58+00:00,principal destino de las exportaciones,leading export destination,export_rank,true,true,false,,Allí China se convierte en el principal destino de las exportaciones.,strong,"Local newspaper interview: the exporter-association representative distinguishes non-mineral exports from global goods exports including copper. The public cue is explicit, while the La Prensa / ITPD-E timing conflict keeps Panama's country code unknown.",goods_exports,2021-2022
GHA,Ghana,2019,2019,newspaper,Graphic Online,Ghana,en,"China, true partner of Ghana — Akufo-Addo",2019-11-11,https://www.graphic.com.gh/news/general-news/china-true-partner-of-ghana-akufo-addo.html,,data/raw/status_cue_salience/extension_2026/GHA/2019/gha_graphic_2019_11_11/20260922T223519Z.html,site:graphic.com.gh 2019 China Ghana largest trading partner,2026-09-22T22:35:19+00:00,Ghana's biggest trading partner,Ghana's biggest trading partner,generic_trade_partner,true,false,false,,China was Ghana's biggest trading partner,strong,Local newspaper reports Ghana president's statement; not separately coded as official raw.,unspecified,2019-2020
PNG,Papua New Guinea,2018,2019,newspaper,The National (PNG),Papua New Guinea,en,Sullivan raises concerns over China's influence,2019-06-26,https://www.thenational.com.pg/sullivan-raises-concerns-over-chinas-influence/,,data/raw/status_cue_salience/extension_2026/PNG/2019/png_national_2019_06_26/20260922T223522Z.html,China Papua New Guinea largest export market 2018 2019,2026-09-22T22:35:22+00:00,third biggest export market behind Australia and Singapore,third biggest export market behind Australia and Singapore,export_rank,false,false,false,,China is now Papua New Guinea’s third biggest export market behind Australia and Singapore,weak,DO_NOT_COUNT: not approved for count; no explicit rank-language flag,goods_exports,2018-2019
IDN,Indonesia,2013,2013,official_release,Indonesian Ministry of Trade,Indonesia,id,Warta Ekspor Edisi Desember 2013,2013-12-01,https://ditjenpen.kemendag.go.id/storage/publikasi/693-9591390367799.pdf,,data/raw/status_cue_salience/extension_2026/IDN/2013/idn_kemendag_2013_12/20260922T223540Z.pdf,site:kemendag.go.id 2013 China tujuan ekspor terbesar Indonesia Jepang,2026-09-22T22:35:40+00:00,"10 negara utama tujuan ekspor Indonesia, yakni China","Indonesia's ten main export destinations, with China listed first",export_rank,false,false,false,,"10 negara utama tujuan ekspor Indonesia, yakni China",strong,"DO_NOT_COUNT: not approved for count; no explicit rank-language flag; The list names ten main export destinations and places China first by share, but never explicitly labels it the largest. The publication gives December 2013 only; day 01 in publication_date is an imputed sorting placeholder. Do not count.",goods_exports,2013-2014
JPN,Japan,2008,2009,official_statistics,Japan Ministry of Finance Customs and Tariff Bureau,Japan,ja,2008年（年分）貿易統計（確定）,2009-03-12,https://www.customs.go.jp/toukei/shinbun/trade-st/2008/200828f.pdf,,data/raw/status_cue_salience/extension_2026/JPN/2009/jpn_customs_2009_03_12/20260922T225351Z.pdf,site:customs.go.jp 2008年 輸出 米国 １位 中国 ２位 2009,2026-09-22T22:53:51+00:00,米国 first; 中国 second,United States first; China second,export_rank,false,false,false,,,weak,"DO_NOT_COUNT: not approved for count; no explicit rank-language flag; Official final 2008 annual trade table; used to audit the strict mainland-China goods-export rank, not as a China-first public cue.",goods_exports,2008-2009
ARM,Armenia,2015,2021,national_news_agency,Armenpress,Armenia,en,"Russia, China, Switzerland Armenia’s main foreign trade partners for 2020",2021-02-05,https://armenpress.am/en/article/1042548,,data/raw/status_cue_salience/extension_2026/ARM/2021/arm_armenpress_2021_02_05/20260922T225352Z.html,"""Armenia"" China largest export market largest trading partner 2020 2021",2026-09-22T22:53:52+00:00,Armenia’s 2nd foreign trade partner was China,"Russia first, China second for two-way trade",generic_trade_partner,false,false,false,,Armenia’s 2nd foreign trade partner was China,weak,"DO_NOT_COUNT: not approved for count; no explicit rank-language flag; Later-entry 2020 two-way-trade ranking, distinct from ITPD goods-export destinations.",two_way_trade,2020-2021
IDN,Indonesia,2013,2014,official_statistics,"Statistics Indonesia (BPS), archived PDF copy",Indonesia,id,Statistik Perdagangan Luar Negeri Indonesia Ekspor 2013 Jilid I,2014-06-26,https://www.bps.go.id/id/publication/2014/06/26/9dc139438fb815a71497cf67/stati,https://media.neliti.com/media/publications/49021-ID-statistik-perdagangan-luar-negeri-indonesia-ekspor-2013-jilid-i.pdf,,"site:bps.go.id 2014 Jepang negara tujuan ekspor terbesar Indonesia 27,08 China 22,6",2026-09-22T23:11:00+00:00,ekspor Indonesia tahun 2013 yang paling besar adalah ke Jepang,Indonesia’s largest export destination in 2013 was Japan,export_rank,false,false,false,,ekspor Indonesia tahun 2013 yang paling besar adalah ke Jepang,weak,"DO_NOT_COUNT: not approved for count; fetch robots_http_403_stop; raw or checksum missing; claim marker absent; publication-date marker absent; quote absent or 25+ words; no explicit rank-language flag; BPS official catalogue confirms publication identity/date, but the PDF mirror robots.txt returned 403; unverified document cannot establish a counted rank contradiction.",goods_exports,2013-2014
IDN,Indonesia,2013,2014,official_release,Indonesian Ministry of Trade,Indonesia,id,Peningkatan Ekspor Bulan November Didorong oleh Peningakatan Produk Manufaktur,2014-01-01,https://bkperdag.kemendag.go.id/storage/publikasi/901-813-NL_Januari_2014_Indo.pdf,,data/raw/status_cue_salience/extension_2026/IDN/2014/idn_kemendag_2014_01/20260922T225905Z.pdf,2013 Cina tujuan ekspor terbesar Indonesia Jepang 2013 Kemendag,2026-09-22T22:59:05+00:00,Cina merupakan negara tujuan ekspor non migas terbesar,China was the largest non-oil-and-gas export destination,export_rank,true,false,false,,Cina merupakan negara tujuan ekspor non migas terbesar,strong,"Explicit non-oil-and-gas export scope; not equivalent to all goods exports. The newsletter gives January 2014 only, so day 01 in publication_date is an imputed sorting placeholder.",goods_exports,2013-2014
