iso3c,country_name,entry_year,evidence_year,source_type,source_name,source_country,language,title,publication_date,url,archive_url,raw_file,query_used,accessed_at,rank_label_original,rank_label_english,label_type,explicit_rank_language,mentions_china_rank_change,mentions_displaced_incumbent,displaced_partner_named,excerpt_under_25_words,evidence_strength,notes,metric_in_source,search_window,source_id,publisher_family,entity_in_source,period_in_source,annual_confirmation_source_id,counts_under_metric_rule,metric_rule_reason,reevaluated_from
PER,Peru,2010,2011,national_news_agency,Agencia Andina,Peru,es,Exportaciones peruanas crecieron 31.1% en el 2010,2011-01-28,https://andina.pe/agencia/noticia-exportaciones-peruanas-crecieron-311-el-2010-al-sumar-record-historico-35402-millones-340321.aspx,,data/raw/status_cue_salience/targeted_2026/PER/2011/old_evidence_extension_8/20260924T020332Z.html,site:andina.pe 2011 China principal destino exportaciones peruanas Estados Unidos,2026-09-22T22:34:49+00:00,Estados Unidos se mantuvo como el principal destino,United States remained the leading destination,export_rank,false,false,false,,Estados Unidos se mantuvo como el principal destino de las exportaciones peruanas,DO_NOT_COUNT,DO_NOT_COUNT: not approved for count; no explicit rank-language flag,goods_exports,2007-2013,old_evidence_extension_8,Andina,mainland_china,annual,,no,"United States, not China, leads Peru goods exports in 2010.",status_cue_source_evidence_extension.csv:8
PER,Peru,2010,2011,national_news_agency,Agencia Andina,Peru,es,China es el principal destino de las exportaciones peruanas,2011-05-16,https://andina.pe/agencia/noticia-tlc-china-ha-incrementado-oferta-exportadora-peruana-a-ese-pais-134-nuevos-productos-358821.aspx,,data/raw/status_cue_salience/targeted_2026/PER/2011/per_andina_2011_05_16/20260924T020213Z.html,site:andina.pe 2011 mayo China principal destino exportaciones peruanas,2026-09-24T02:02:13+00:00,China es el principal destino de las exportaciones peruanas,China is the main destination of Peruvian exports,export_rank,true,,,,China es el principal destino de las exportaciones peruanas,strong,,goods_exports,2007-2013,per_andina_2011_05_16,Andina,mainland_china,other,,yes,Mincetur official says China is principal destination of Peruvian exports in contemporary May 2011 report.,
PER,Peru,2010,2011,national_news_agency,Agencia Andina,Peru,es,China desplazaría a Estados Unidos,2011-10-03,https://andina.pe/agencia/noticia-china-desplazaria-a-eeuu-como-principal-socio-comercial-peru-a-fines-ano-380452.aspx,,data/raw/status_cue_salience/targeted_2026/PER/2011/per_andina_2011_10_03/20260924T020217Z.html,site:andina.pe 2011 China desplazaria Estados Unidos principal socio comercial,2026-09-24T02:02:17+00:00,China desplazaría a Estados Unidos,,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2007-2013,per_andina_2011_10_03,Andina,mainland_china,other,,no,Trade partner first is prospective not observed; any January-July export rank lacks same-year annual confirmation in this source.,
PER,Peru,2010,2011,official_release,Peru Ministry of Economy and Finance,Peru,es,MEF: posibilidades de recesión en Perú son totalmente remotas,2011-10-20,https://mef.gob.pe/es/notas-de-prensa-y-comunicados/2691-mef-posibilidades-de-recesion-en-peru-son-totalmente-remotas,,data/raw/status_cue_salience/targeted_2026/PER/2011/old_evidence_extension_9/20260924T020332Z.html,site:mef.gob.pe 2011 China principal socio comercial Perú,2026-09-22T22:34:49+00:00,nuestro principal socio comercial,our principal trading partner,generic_trade_partner,true,true,true,United States,"China es nuestro principal socio comercial, al haber desplazado a los Estados Unidos",DO_NOT_COUNT,DO_NOT_COUNT: not approved for count; claim marker absent; publication-date marker absent; quote absent or 25+ words,total_trade_unspecified,2007-2013,old_evidence_extension_9,MEF,mainland_china,other,,no,An error response was archived; statement is unverified in a valid raw. Capture unavailable/invalid: copied_legacy,status_cue_source_evidence_extension.csv:9
PER,Peru,2010,2011,national_news_agency,Agencia Andina,Peru,es,China principal socio comercial,2011-10-22,https://andina.pe/agencia/noticia-promoveran-asia-fortaleza-economia-peruana-y-como-refugio-inversiones-383178.aspx,,data/raw/status_cue_salience/targeted_2026/PER/2011/per_andina_2011_10_22/20260924T020218Z.html,site:andina.pe 2011 China desplazó Estados Unidos principal socio comercial Perú,2026-09-24T02:02:18+00:00,"China es el principal socio comercial de Perú, tras desplazar a Estados Unidos",China is Peru main trading partner,generic_trade_partner,true,,,,"China es el principal socio comercial de Perú, tras desplazar a Estados Unidos",strong,,total_trade_unspecified,2007-2013,per_andina_2011_10_22,Andina,mainland_china,other,,yes,"Current principal partner claim; same publisher family as first cue, does not independently elevate to high.",
PER,Peru,2010,2012,national_news_agency,Agencia Andina,Peru,es,China primer destino de exportaciones 2011,2012-02-07,https://andina.pe/agencia/noticia-exportaciones-peruanas-logran-record-al-sumar-45726-millones-2011-398803.aspx,,data/raw/status_cue_salience/targeted_2026/PER/2012/per_andina_2012_02_07/20260924T020215Z.html,site:andina.pe 2012 exportaciones peruanas 2011 China primer destino,2026-09-24T02:02:15+00:00,,,,,,,,,DO_NOT_COUNT,,goods_exports,2007-2013,per_andina_2012_02_07,Andina,mainland_china,annual,,no,"Annual 2011 export shares place China above Switzerland and the United States, but this item has no explicit China-first label; annual context only.",
SAU,Saudi Arabia,2013,2012,newspaper,Al Madina,Saudi Arabia,ar,أصبحت الصين أكبر شريك تجاري للمملكة,2012-12-04,https://www.al-madina.com/article/194366/%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%AD%D8%AC%D9%85-%D8%A7%D9%84%D8%AA%D8%A8%D8%A7%D8%AF%D9%84-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9-%D9%88%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%A5%D9%84%D9%89-6440-%D9%85%D9%84%D9%8A%D8%A7%D8%B1-%D8%AF%D9%88%D9%84%D8%A7%D8%B1,,data/raw/status_cue_salience/targeted_2026/SAU/2012/sau_almadina_2012_12_04/20260924T020220Z.html,site:al-madina.com 2012 الصين أكبر شريك تجاري للمملكة,2026-09-24T02:02:20+00:00,أصبحت الصين أكبر شريك تجاري للمملكة,,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2010-2016,sau_almadina_2012_12_04,Al Madina,mainland_china,annual,,no,2011 rank appears in consular-supplied copy in Dec 2012; independent Saudi newsroom uptake uncertain.,
SAU,Saudi Arabia,2013,2013,newspaper,Al Riyadh,Saudi Arabia,ar,أصبحت الصين أكبر شريك تجاري للمملكة,2013-01-01,https://alriyadh.com/797699,,,site:alriyadh.com 2013 الصين أكبر شريك تجاري للمملكة 2012,2026-09-24T02:50:58+00:00,أصبحت الصين أكبر شريك تجاري للمملكة,,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2010-2016,sau_alriyadh_2013_01_01,Chinese ambassador,mainland_china,other,,no,Signed Chinese ambassador opinion based on first ten months 2012; Chinese official source and subannual rank not counted. Capture unavailable/invalid: robots_unavailable_stop,
SAU,Saudi Arabia,2013,2013,newspaper,Al Riyadh,Saudi Arabia,ar,الصين أكبر شريك تجاري للمملكة,2013-02-12,https://www.alriyadh.com/809800,,,site:alriyadh.com 2013 فبراير الصين أكبر شريك تجاري للمملكة,2026-09-24T02:50:58+00:00,الصين أكبر شريك تجاري للمملكة,China became Saudi Arabia largest trading partner,generic_trade_partner,true,,,,الصين أكبر شريك تجاري للمملكة,DO_NOT_COUNT,,two_way_trade_goods,2010-2016,sau_alriyadh_2013_02_12,Al Riyadh,mainland_china,annual,,no,Saudi newspaper reports ambassador 2012 full-year two-way rank as current claim. Capture unavailable/invalid: robots_unavailable_stop,
SAU,Saudi Arabia,2013,2013,newspaper,Al Watan,Saudi Arabia,ar,الصين الشريك الأول للمملكة,2013-02-27,https://www.alwatan.com.sa/article/173327,,data/raw/status_cue_salience/targeted_2026/SAU/2013/sau_alwatan_2013_02_27/20260924T020222Z.html,site:alwatan.com.sa 2013 الصين الشريك الأول للمملكة,2026-09-24T02:02:22+00:00,جعلت من الصين الشريك التجاري الأول للمملكة,China became Saudi Arabia first trading partner,generic_trade_partner,true,,,,جعلت من الصين الشريك التجاري الأول للمملكة,strong,,two_way_trade_goods,2010-2016,sau_alwatan_2013_02_27,Al Watan,mainland_china,annual,,yes,Saudi newsroom article explicitly reports 2012 annual first two-way partner; headline and lede independently adopt status.,
SAU,Saudi Arabia,2013,2014,national_news_agency,Saudi Press Agency,Saudi Arabia,ar,عام / سمو ولي العهد يجتمع مع رئيس الوزراء الصيني,2014-03-14,https://www.spa.gov.sa/1209312,,data/raw/status_cue_salience/targeted_2026/SAU/2014/old_evidence_26/20260924T020332Z.html,site.spa.gov.sa الصين 2014 الصادرات أكبر شريك تجاري,2026-09-22T02:51:48+00:00,المملكة تعد أكبر شريك تجاري للصين في غرب آسيا وأفريقيا,Saudi Arabia is China's largest trading partner in West Asia and Africa,generic_trade_partner,true,false,false,,المملكة تعد أكبر شريك تجاري للصين في غرب آسيا وأفريقيا,DO_NOT_COUNT,"DO_NOT_COUNT: Not eligible or full raw/date/text validation failed. Rank direction is reversed: Saudi Arabia's place among China's partners, not China's place among Saudi partners. National public news agency; not an independent newspaper or statistical release.",goods_exports,2010-2016,old_evidence_26,SPA,mainland_china,annual,,no,China not first in the reported 2013 goods-export ranking. Capture unavailable/invalid: copied_legacy,status_cue_source_evidence.csv:26
SAU,Saudi Arabia,2013,2014,newspaper,Al Eqtisadiah,Saudi Arabia,ar,1.5 تريليون ريال مبادلات تجارية بين السعودية والصين خلال 10 سنوات,2014-03-16,https://www.aleqt.com/2014/03/16/article_833617.html,,data/raw/status_cue_salience/targeted_2026/SAU/2014/sau_aleqt_2014_03_16/20260924T023811Z.html,site:aleqt.com 2013 الصين الشريك التجاري الأول للسعودية 2012,2026-09-24T02:38:11+00:00,الصين ثاني أهم شريك تجاري للسعودية بعد الولايات المتحدة,,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2010-2016,sau_aleqt_2014_03_16,Al Eqtisadiah,mainland_china,annual,,no,Saudi GASTAT 2012 goods-turnover figures in local financial newspaper put China second after United States (and third as Saudi export destination); contrasts with 2013 Al Watan China-first claim sourced to Chinese ambassador.,
SAU,Saudi Arabia,2013,2014,newspaper,Al Riyadh (Saudi Press Agency report),Saudi Arabia,ar,تراجع صادرات المملكة 3.2% في 2013.. وارتفاع الواردات 8.1%,2014-05-06,https://www.alriyadh.com/933347,,data/raw/status_cue_salience/targeted_2026/SAU/2014/old_evidence_25/20260924T020332Z.html,"site.alriyadh.com ""2013"" ""الصين"" ""الصادرات"" ""الأولى""",2026-09-22T02:54:10+00:00,وفي المرتبة الثانية الصين بنسبة 13.4%,China ranked second with 13.4 percent,non_top_rank,true,false,false,,وفي المرتبة الثانية الصين بنسبة 13.4%,DO_NOT_COUNT,"DO_NOT_COUNT: Not eligible or full raw/date/text validation failed. SPA dispatch published by Al Riyadh reports CD SI annual merchandise exports for calendar 2013: USA first 14.12%, China second 13.4%. All merchandise including petroleum (mineral products 85.71%); no services and no China/Hong Kong aggregation stated. This is contrary rank evidence, not a top-China cue; does not recode the treatment data.",goods_exports,2010-2016,old_evidence_25,Al Riyadh/SPA,mainland_china,annual,,no,China second in 2013 goods exports; public metric conflicts with two-way rank.,status_cue_source_evidence.csv:25
SAU,Saudi Arabia,2013,2014,newspaper,Arab News,Saudi Arabia,en,Al-Jasser to represent country at Arab-China forum,2014-09-07,https://www.arabnews.com/saudi-arabia/news/626476,,,"site.arabnews.com ""China"" ""largest trading partner"" ""2014""",2026-09-24T02:51:09+00:00,Saudi Arabia China’s largest trading partner in western Asia,Saudi Arabia China's largest trading partner in western Asia,generic_trade_partner,true,false,false,,making Saudi Arabia China’s largest trading partner in western Asia.,DO_NOT_COUNT,"DO_NOT_COUNT: Not eligible or full raw/date/text validation failed. Publication is contemporary but ranked unit is Saudi Arabia among China's regional partners; cited bilateral-trade value concerns 2008, not 2013-2014.",total_trade_unspecified,2010-2016,old_evidence_27,Arab News,mainland_china,other,,no,Rank status is not sufficiently explicit in available record; no raw file. Capture unavailable/invalid: legacy_raw_missing,status_cue_source_evidence.csv:27
SAU,Saudi Arabia,2013,2015,local_news,Arab News,Saudi Arabia,en,Saudi-China trade stands at $70 billion,2015-12-05,https://www.arabnews.com/economy/news/845596,,data/raw/status_cue_salience/targeted_2026/SAU/2015/old_evidence_17/20260924T020332Z.html,site:arabnews.com Saudi China largest trading partner 2015,2026-05-20T14:58:23+00:00,Saudi Arabia China’s biggest economic partner in the region,China's biggest economic partner in the region,generic_trade_partner,true,true,false,,Saudi Arabia China’s biggest economic partner in the region.,DO_NOT_COUNT,"DO_NOT_COUNT: SAU_WINDOW_CORRECTION: published outside 2013-2014 M2/M3 window. DO_NOT_COUNT: raw fetch status is http_error (403). DO_NOT_COUNT: source ranks Saudi Arabia as China's regional partner, not China as Saudi Arabia's top partner.",total_trade_unspecified,2010-2016,old_evidence_17,Arab News,mainland_china,other,,no,Local Saudi newspaper uses China-first partner language within 2010-2016 window. Capture unavailable/invalid: copied_legacy,status_cue_source_evidence.csv:17
SAU,Saudi Arabia,2013,2016,business_news,Argaam,Saudi Arabia,ar,"السعودية: الصين أول شريك تجاري عام 2015.. و""النفط"" أهم الصادرات",2016-09-11,https://www.argaam.com/ar/article/articledetail/id/444197,,data/raw/status_cue_salience/targeted_2026/SAU/2016/old_evidence_18/20260924T020332Z.html,"""السعودية"" ""الصين أول شريك تجاري"" ""2015""",2026-05-20T14:58:23+00:00,الصين أول شريك تجاري عام 2015,China was the first trading partner in 2015,generic_trade_partner,true,true,true,United States,الصين أول شريك تجاري عام 2015.,strong,DO_NOT_COUNT: SAU_WINDOW_CORRECTION: published outside 2013-2014 M2/M3 window.,two_way_trade_goods,2010-2016,old_evidence_18,Argaam,mainland_china,annual,,yes,Regraded from legacy weak: local Argaam independently reports the Saudi GASTAT 2015 full-year goods-trade rank with explicit China-first headline and values; within 2010-2016 window.,status_cue_source_evidence.csv:18
SAU,Saudi Arabia,2013,2016,official_statistics,General Authority for Statistics,Saudi Arabia,en,"""China"" the main destination for Saudi exports",2016-11-29,https://www.stats.gov.sa/en/w/-china-the-main-destination-for-saudi-exports-with-a-value-of-sar-6693-million,,data/raw/status_cue_salience/targeted_2026/SAU/2016/old_evidence_19/20260924T020332Z.html,site:stats.gov.sa China main destination Saudi exports 2015 2016 top exports official,2026-05-20T14:58:23+00:00,main destination for Saudi exports,main destination for Saudi exports,export_rank,true,true,false,,China is the main destination for exports in Saudi Arabia.,DO_NOT_COUNT,DO_NOT_COUNT: SAU_WINDOW_CORRECTION: published outside 2013-2014 M2/M3 window.,goods_exports,2010-2016,old_evidence_19,Saudi GASTAT,mainland_china,month,,no,November 2016 monthly goods-export rank needs full-year 2016 confirmation.,status_cue_source_evidence.csv:19
PHL,Philippines,2005,2006,official_statistics,Philippine Statistics Authority,Philippines,en,Merchandise Export Performance: December 2005,2006-02-10,https://psa.gov.ph/content/merchandise-export-performance-december-2005,,data/raw/status_cue_salience/targeted_2026/PHL/2006/old_evidence_12/20260924T020332Z.html,site:psa.gov.ph Philippines 2005 China top export market largest export destination exports 2005 China,2026-05-20T14:58:23+00:00,Other top markets; China accounting for 9.7 percent,"top market list, not top-ranked China",non_top_rank,true,false,false,,Exports to People's Republic of China accounted for 9.7 percent.,DO_NOT_COUNT,DO_NOT_COUNT: raw fetch status is http_error (403). DO_NOT_COUNT: monthly official export release does not identify China as top export destination.,goods_exports,2002-2008,old_evidence_12,PSA,mainland_china,month,,no,China was below the top destination; archived response is HTTP 403. Capture unavailable/invalid: copied_legacy,status_cue_source_evidence.csv:12
PHL,Philippines,2005,2006,local_news,GMA News Online / BusinessWorld,Philippines,en,"China emerging market for semiconductor, electronics exports",2006-03-05,https://www.gmanetwork.com/news/money/content/1492/china-emerging-market-for-semiconductor-electronics-exports/story/,,data/raw/status_cue_salience/targeted_2026/PHL/2006/old_evidence_11/20260924T020332Z.html,Philippines 2005 China largest export market number one export destination local newspaper official 2006,2026-05-20T14:58:23+00:00,third biggest destination,third-biggest destination,non_top_rank,true,false,false,,China has now become the third biggest destination for electronics and semiconductor exports.,DO_NOT_COUNT,"DO_NOT_COUNT: sectoral rank; useful for auditing treatment/rank definition, not public top-status uptake.",goods_exports,2002-2008,old_evidence_11,GMA/BusinessWorld,mainland_china,other,,no,"China is third, not first, as destination for semiconductor/electronics exports; the sector-specific rank is also excluded.",status_cue_source_evidence.csv:11
PHL,Philippines,2005,2006,official_statistics,Philippine Statistics Authority,Philippines,en,China third export market,2006-10-10,https://psa.gov.ph/statistics/export-import/monthly/node/10166,,,site:psa.gov.ph 2006 China third merchandise exports September Philippines,2026-09-24T02:50:59+00:00,China third export market,,,,,,,,DO_NOT_COUNT,,goods_exports,2002-2008,phl_psa_2006_09,PSA,mainland_china,month,,no,September 2006 export table ranks China third; not a cue. Capture unavailable/invalid: robots_http_403_stop,
PHL,Philippines,2005,2008,official_statistics,Philippine Statistics Authority,Philippines,en,China not first,2008-02-10,https://psa.gov.ph/content/merchandise-export-performance-december-2007,,,site:psa.gov.ph 2007 December China exports top destination Hong Kong,2026-09-24T02:50:59+00:00,China not first,,,,,,,,DO_NOT_COUNT,,goods_exports,2002-2008,phl_psa_2007_12,PSA,mainland_china,month,,no,December 2007 China below first; not a cue. Capture unavailable/invalid: robots_http_403_stop,
RUS,Russia,2012,2009,business_news,Business FM,Russia,ru,,2009-06-17,https://www.bfm.ru/news/83885,,data/raw/status_cue_salience/targeted_2026/RUS/2009/rus_bfm_2009_06_17/20260924T022437Z.html,site:bfm.ru Китай крупнейший торговый партнер России 2009 2010 Германия,2026-09-24T02:24:37+00:00,Китай вышел на первое место по объему товарооборота с Россией,,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2009-2015,rus_bfm_2009_06_17,Business FM,mainland_china,quarter,,no,"First quarter 2009 China first in two-way goods, but completed 2009 annual Germany and Netherlands exceed China; no matching annual confirmation.",
RUS,Russia,2012,2010,business_news,Ekonomika i Zhizn,Russia,ru,,2010-02,https://www.eg-online.ru/article/92208/,,data/raw/status_cue_salience/targeted_2026/RUS/2010/rus_2009_annual_partner_order/20260924T022440Z.html,Россия крупнейший торговый партнер 2009 итоги года Германия Китай товарооборот ФТС 2009,2026-09-24T02:24:40+00:00,"Нидерланды и Германия — по 8,5%; Китай — 8,4%",,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2009-2015,rus_2009_annual_partner_order,Ekonomika i Zhizn,mainland_china,annual,,no,"Completed 2009 goods trade gives Netherlands and Germany 8.5% each; China 8.4%, invalidating the Q1 cue under the annual-confirmation rule.",
