iso3c,country_name,entry_year,n_newspaper_sources_strong,n_official_sources_strong,n_total_strong_or_moderate,has_explicit_export_rank_label,has_explicit_generic_trade_partner_label,has_official_uptake,has_newspaper_uptake,salience_code,negative_case_candidate,coding_rationale,remaining_gaps,search_windows_tried,n_queries_logged
GNQ,Equatorial Guinea,2006,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2006-2007;2013-2014;2017-2018,8
MLI,Mali,2006,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2006-2007;2009-2010,5
MRT,Mauritania,2006,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2006-2007,3
IRN,Iran,2007,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2007-2008;2022-2023,6
KAZ,Kazakhstan,2007,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2007-2008,3
COD,Congo - Kinshasa,2008,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2008-2009,3
JPN,Japan,2008,0,1,1,false,true,true,false,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,"Japan Ministry of Finance final 2008 goods-export table puts the United States ahead of mainland China (14,214,321 versus 12,949,889 million yen). JETRO's confirmed cue uses two-way trade; the Japan Times headline survives, but its trade denominator cannot be verified from the archived raw.",2008-2009,15
THA,Thailand,2008,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2008-2009,3
ETH,Ethiopia,2009,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2009-2010;2012-2013;2016-2017,8
ZAF,South Africa,2009,1,1,2,false,true,true,true,high,no,2 countable source(s) from 2 independent publisher(s) in 2009-2010.,,2009-2010,8
PER,Peru,2010,0,0,0,false,false,false,false,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,"SUNAT/Andina reports the United States first and China second for Peru goods exports in calendar 2010, while the inventory records China first in 2010.",2010-2011,5
TKM,Turkmenistan,2010,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2010-2011,3
GMB,Gambia,2011,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2011-2012;2015-2016;2019-2020,8
MLT,Malta,2011,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2011-2012;2021-2022,6
TZA,Tanzania,2011,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2011-2012,3
ZWE,Zimbabwe,2011,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2011-2012;2019-2020,6
CMR,Cameroon,2012,1,0,1,true,false,false,true,medium,no,1 countable source(s) from 1 independent publisher(s) in 2012-2013.,,2012-2013,6
LBR,Liberia,2012,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2012-2013;2014-2015,5
RUS,Russia,2012,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2012-2013,3
SSD,South Sudan,2012,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2012-2013,2
ZMB,Zambia,2012,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2012-2013;2014-2015;2018-2019;2022-2023,11
CAF,Central African Republic,2013,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2013-2014;2018-2019;2020-2021,9
IDN,Indonesia,2013,0,1,1,true,false,true,false,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,"The China-first cue covers January-November 2013 non-oil-and-gas exports, not the full annual goods universe; alignment with the inventory is unresolved.",2013-2014,17
NZL,New Zealand,2013,1,1,2,true,true,true,true,high,no,2 countable source(s) from 2 independent publisher(s) in 2013-2014.,,2013-2014,5
UZB,Uzbekistan,2013,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2013-2014,3
ERI,Eritrea,2014,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2014-2015,3
IRQ,Iraq,2014,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2014-2015;2019-2020,6
MOZ,Mozambique,2014,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2014-2015,3
ARM,Armenia,2015,0,0,0,false,false,false,false,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,"For Armenia’s later 2020 entry, Armenpress reports Russia first and China second in two-way trade; this is a different denominator from goods exports.",2015-2016;2020-2021,7
PNG,Papua New Guinea,2018,0,0,0,false,false,false,false,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,"PNG local news cites preliminary 2018 figures putting China third, behind Australia and Singapore, contrary to the inventory's 2018 first rank.",2018-2019,5
VNM,Vietnam,2018,2,0,2,true,false,false,true,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,Vietnam's government reported the United States first and China below it for calendar-2018 goods exports; early-2018 China-first cues use interim or different data.,2018-2019,7
GHA,Ghana,2019,1,0,1,false,true,false,true,medium,no,1 countable source(s) from 1 independent publisher(s) in 2019-2020.,,2019-2020,5
GIN,Guinea,2019,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2019-2020;2022-2023,7
TCD,Chad,2019,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2019-2020,4
UKR,Ukraine,2020,2,0,2,false,true,false,true,high,no,2 countable source(s) from 2 independent publisher(s) in 2020-2021.,,2020-2021,6
PAN,Panama,2021,2,0,2,true,false,false,true,unknown,no,Contemporaneous rank-definition conflict; public-cue evidence is not assigned a high/medium code pending reconciliation.,"La Prensa places China's goods-export lead in calendar 2020 and names the Netherlands/United States as displaced, whereas the ITPD-E inventory records first entry in 2021 and Guatemala as incumbent. The matching goods-export wording makes the year and partner discrepancy unresolved.",2021-2022,19
TLS,Timor-Leste,2021,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2021-2022,4
VEN,Venezuela,2021,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2021-2022,4
