source_id,newspaper,country,requested_date,observation_unit,mechanism,http_statuses,access_outcome,records_returned_by_source,records_wrong_date,records_before_dedup,records_after_dedup,duplicate_url_rows,duplicate_original_id_rows,possible_duplicate_title_rows,source_declared_total,source_declared_total_basis,html_reconciliation_count,pages_requested,pagination_evidence,pagination_complete,denominator_assessment,publication_date_method,date_inferred_records,update_only_records,absence_type,additional_volume_retrieved,access_problems,extraction_problems,historical_structure_note,fidelity_sample_n,fidelity_result,status,status_justification
diena,Diena,Latvia,2014-06-15,web article listing,monthly chronological index plus daily HTML page,200,success,33,0,33,20,0,13,0,33,count adjacent to requested date in monthly archive index,,1,single daily page; no pagination link expected in the date-specific route,true,publisher day count in monthly index,listing_time_element,0,0,none,monthly index only (134004 bytes); records restricted to requested day,,,The current hierarchical year/month/day archive exposes article listings and a monthly day count.,0,not_sampled,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
diena,Diena,Latvia,2026-08-15,web article listing,monthly chronological index plus daily HTML page,200,success,15,0,15,10,0,5,0,15,count adjacent to requested date in monthly archive index,,1,single daily page; no pagination link expected in the date-specific route,true,publisher day count in monthly index,listing_time_element,0,0,none,monthly index only (134551 bytes); records restricted to requested day,,,The current hierarchical year/month/day archive exposes article listings and a monthly day count.,1,pass,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
elpais,El País,Spain,2000-06-15,web article listing,paginated daily HTML archive,200,success,276,0,276,144,2,132,7,,,,12,followed rel=next until absent,true,all records exposed by the rel=next daily archive chain; no independent publisher total,listing_time_datetime,0,0,none,none beyond all pages of the requested daily archive,,,Older records use legacy article URL structures while the daily hemeroteca is presented by the current platform.,1,pass,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
elpais,El País,Spain,2009-06-15,web article listing,paginated daily HTML archive,200,success,315,0,315,157,1,158,6,,,,13,followed rel=next until absent,true,all records exposed by the rel=next daily archive chain; no independent publisher total,listing_time_datetime,0,0,none,none beyond all pages of the requested daily archive,,,Older records use legacy article URL structures while the daily hemeroteca is presented by the current platform.,0,not_sampled,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
elpais,El País,Spain,2014-06-15,web article listing,paginated daily HTML archive,200,success,169,0,169,169,0,0,0,,,,7,followed rel=next until absent,true,all records exposed by the rel=next daily archive chain; no independent publisher total,listing_time_datetime,0,0,none,none beyond all pages of the requested daily archive,,,Older records use legacy article URL structures while the daily hemeroteca is presented by the current platform.,0,not_sampled,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
elpais,El País,Spain,2026-08-15,web article listing,paginated daily HTML archive,200,success,135,0,135,135,0,0,0,,,,6,followed rel=next until absent,true,all records exposed by the rel=next daily archive chain; no independent publisher total,listing_time_datetime,0,0,none,none beyond all pages of the requested daily archive,,,Recent records use current article URL structures; daily archive pagination remains date-specific.,1,pass,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
mbl,Morgunblaðið / mbl.is,Iceland,2000-06-15,web article listing,daily HTML archive; browser-only diagnostic when HTTP is challenged,200,success,200,0,200,200,0,0,1,,,200,1,one daily page; item_num contiguous 0-199; no rel=next,true,all article cards on the saved daily HTML; matched a separate browser DOM count; no publisher-declared total,daily_listing_date_link_and_dags_parameter,0,0,none,daily listing HTML includes publisher teasers; only title/date/URL were processed,The optional headless probe outcome was probe_failure; the rate-limited HTTP collector nevertheless returned the populated daily HTML.,,"The rate-limited HTTP request exposes dated records, while the optional headless browser is challenged; access depends on the automation mechanism.",1,pass,adequado,"The saved daily listing was enumerated, item numbers were contiguous, no next page remained, and a separate browser DOM count matched."
mbl,Morgunblaðið / mbl.is,Iceland,2009-06-15,web article listing,daily HTML archive; browser-only diagnostic when HTTP is challenged,200,success,140,0,140,140,0,0,7,,,140,1,one daily page; item_num contiguous 0-139; no rel=next,true,all article cards on the saved daily HTML; matched a separate browser DOM count; no publisher-declared total,daily_listing_date_link_and_dags_parameter,0,0,none,daily listing HTML includes publisher teasers; only title/date/URL were processed,The optional headless probe outcome was probe_failure; the rate-limited HTTP collector nevertheless returned the populated daily HTML.,,"The rate-limited HTTP request exposes dated records, while the optional headless browser is challenged; access depends on the automation mechanism.",0,not_sampled,adequado,"The saved daily listing was enumerated, item numbers were contiguous, no next page remained, and a separate browser DOM count matched."
mbl,Morgunblaðið / mbl.is,Iceland,2014-06-15,web article listing,daily HTML archive; browser-only diagnostic when HTTP is challenged,200,success,110,0,110,110,0,0,0,,,110,1,one daily page; item_num contiguous 0-109; no rel=next,true,all article cards on the saved daily HTML; matched a separate browser DOM count; no publisher-declared total,daily_listing_date_link_and_dags_parameter,0,0,none,daily listing HTML includes publisher teasers; only title/date/URL were processed,The optional headless probe outcome was probe_failure; the rate-limited HTTP collector nevertheless returned the populated daily HTML.,,"The rate-limited HTTP request exposes dated records, while the optional headless browser is challenged; access depends on the automation mechanism.",0,not_sampled,adequado,"The saved daily listing was enumerated, item numbers were contiguous, no next page remained, and a separate browser DOM count matched."
mbl,Morgunblaðið / mbl.is,Iceland,2026-08-15,web article listing,daily HTML archive; browser-only diagnostic when HTTP is challenged,200,success,113,0,113,113,0,0,0,,,113,1,one daily page; item_num contiguous 0-112; no rel=next,true,all article cards on the saved daily HTML; matched a separate browser DOM count; no publisher-declared total,daily_listing_date_link_and_dags_parameter,0,0,none,daily listing HTML includes publisher teasers; only title/date/URL were processed,The optional headless probe outcome was probe_failure; the rate-limited HTTP collector nevertheless returned the populated daily HTML.,,"The rate-limited HTTP request exposes dated records, while the optional headless browser is challenged; access depends on the automation mechanism.",1,pass,adequado,"The saved daily listing was enumerated, item numbers were contiguous, no next page remained, and a separate browser DOM count matched."
