"title";"data";"date_piece";"year";"subject"
"China quer devolução das relíquias Yin, patrimônio da Unesco";"14.jul.2006 às 11h49";2006-07-14;2006;"Culture"
"China vai comprar urânio da Austrália para usinas";"4.abr.2006 às 7h16";2006-04-04;2006;"Uranium deal"
"Partido Comunista da China anuncia composição de sua cúpula";"22.out.2007 às 4h15";2007-10-22;2007;"CCP"
"China adotará política monetária mais rígida em 2008";"5.dez.2007 às 9h54";2007-12-05;2007;"Chinese economic policy"
"Bairro da Liberdade entra em festa com Ano Novo chinês";"9.fev.2007 às 10h52";2007-02-09;2007;"Culture"
"Trabalho infantil na China se agrava, diz ONG";"5.set.2007 às 10h51";2007-09-05;2007;"Child labour"
"Bovespa recua 0,10% com \"efeito China\"; dólar estabiliza em R$ 2,034";"19.abr.2007 às 12h33";2007-04-19;2007;"Chinese economy"
"Ancine aposta na co-produção para inserir cinema nacional na China";"19.jun.2007 às 9h19";2007-06-19;2007;"Culture"
"China registra superávit de US$ 177 bi em 2006";"11.jan.2007 às 10h11";2007-01-11;2007;"Chinese economy"
"Babás chinesas viram moda no Reino Unido";"12.abr.2007 às 8h21";2007-04-12;2007;"Culture"
"Doações à China somam US$ 1,55 bilhão; país está em período de luto";"19.mai.2008 às 12h28";2008-05-19;2008;"Natural Disaster"
"China vai controlar preços de alimentos e combustíveis";"10.jan.2008 às 12h40";2008-01-10;2008;"Chinese economic policy"
"Novo \"A Múmia\" deixa o Egito e busca fôlego na China";"1.ago.2008 às 8h03";2008-08-01;2008;"Culture"
"Trens colidem na China; número de vítimas ainda é desconhecido";"27.abr.2008 às 22h58";2008-04-27;2008;"Disaster"
"Reservas de divisas da China chegam a US$ 1,808 trilhão em junho";"14.jul.2008 às 9h19";2008-07-14;2008;"Chinese economy"
"ONG denuncia venda de vinho com osso de tigre na China";"11.jun.2008 às 9h16";2008-06-11;2008;"Human and Animal Rights"
"Diante da crise, governo da China quer favorecer comércio e consumo";"25.dez.2008 às 8h46";2008-12-25;2008;"Chinese economic policy"
"Jornal chinês sai das bancas por foto da praça Tianamen";"25.jul.2008 às 10h15";2008-07-25;2008;"Newspaper closure"
"China tem abalos secundários; mortos chegam a quase 12 mil";"13.mai.2008 às 9h05";2008-05-13;2008;"Earthquake aftershocks"
"Bolsas da Ásia acompanham mercado americano e recuam; China sobe";"16.dez.2008 às 4h59";2008-12-16;2008;"Asia markets"
"Inundações já deixaram 50 mortos e 26 desaparecidos na China";"28.mai.2008 às 11h25";2008-05-28;2008;"Flood disaster"
"China afirma que não desistiu de acordo global sobre clima";"17.dez.2009 às 10h50";2009-12-17;2009;"Climate talks"
"Importações de minério da China cairão no 2º semestre, dizem analistas";"27.jul.2009 às 13h57";2009-07-27;2009;"Iron-ore imports"
"Primeiro-ministro diz que China quer ajudar o mundo a sair da recessão";"2.fev.2009 às 11h37";2009-02-02;2009;"Recession help"
"Estilista faz sucesso na China com fantasias caninas";"10.jun.2009 às 14h59";2009-06-10;2009;"Dog fashion"
"Presidente da China diz que só o socialismo pode salvar o país";"1.out.2009 às 5h01";2009-10-01;2009;"Socialism speech"
"Opinião: Condenação de ativista é sinal da China ao mundo";"28.dez.2009 às 15h46";2009-12-28;2009;"Activist sentence"
"China deve evitar estímulos fiscais para manter crescimento, diz Bird";"18.jun.2009 às 17h37";2009-06-18;2009;"World-Bank advice"
"Gastos com casamento na China equivalem a 1,3% do PIB, diz estudo";"8.out.2009 às 8h05";2009-10-08;2009;"Wedding spending"
"China demite dois funcionários de alto escalão por escândalo do leite";"20.mar.2009 às 12h16";2009-03-20;2009;"Milk scandal"
"Tumulto na China deixa 140 mortos; assista";"6.jul.2009 às 9h16";2009-07-06;2009;"Ethnic riot"
"Novas regras proíbem tortura em confissões na China";"30.mai.2010 às 13h29";2010-05-30;2010;"Legal reforms"
"Acidente após casamento deixa 16 mortos na China";"13.nov.2010 às 7h55";2010-11-13;2010;"Wedding accident"
"Incêndio em mina chinesa causa pelo menos 16 mortes";"7.ago.2010 às 3h05";2010-08-07;2010;"Mine accident"
"News Corp, de Rupert Murdoch, vende controle de TVs na China";"10.ago.2010 às 10h58";2010-08-10;2010;"News-Corp sale"
"Vendas de automóveis na China desaceleram em junho";"9.ago.2010 às 12h12";2010-08-09;2010;"Auto sales"
"Vale pede à China alta de até 100% no preço de minério de ferro";"19.mar.2010 às 7h50";2010-03-19;2010;"Iron-ore pricing"
"Brasil e Argentina anunciam \"ofensiva\" comercial à China";"25.mar.2010 às 19h26";2010-03-25;2010;"Brazil–China trade"
"Após crise com China, Japão liberta capitão de pesqueiro chinês";"24.set.2010 às 8h40";2010-09-24;2010;"Japan dispute"
"Vazamento na China pode ter sido 60 vezes maior que divulgado, diz Greenpeace";"30.jul.2010 às 9h03";2010-07-30;2010;"Oil spill"
"China é um motor importante para a recuperação mundial, diz premiê";"13.set.2010 às 10h07";2010-09-13;2010;"Global recovery"
"Dados da China e resoluções de BC mundiais impulsionam Bolsas da Ásia";"13.set.2010 às 7h55";2010-09-13;2010;"Market rally"
"China pede ações firmes dos EUA e diz que mantêm relação \"madura\" com a UE";"7.mar.2010 às 7h29";2010-03-07;2010;"Diplomatic relations"
"Série \"Grey's Anatomy\" será exibida na China";"6.mai.2010 às 15h14";2010-05-06;2010;"TV series"
"Google tem 99,9% de certeza de sair da China, diz jornal";"15.mar.2010 às 9h25";2010-03-15;2010;"Google exit"
"China vai investir US$ 1,5 bi para produzir alimentos na Argentina";"3.set.2011 às 12h00";2011-09-03;2011;"Argentina agriculture"
"Telegramas americanos relatam protestos na China em 1989";"28.ago.2011 às 2h00";2011-08-28;2011;"Tiananmen protests"
"Conheça o mundo paralelo da internet da China";"14.jul.2011 às 17h04";2011-07-14;2011;"Internet censorship"
"Xangai bate recorde de poluição na China; veja imagem";"4.mai.2011 às 9h28";2011-05-04;2011;"Air pollution"
"Indiferença com menina atropelada gera revolta na China";"18.out.2011 às 8h50";2011-10-18;2011;"Hit-and-run outrage"
"China tenta exportar tecnologia 4G para África e América Latina";"3.jan.2011 às 13h37";2011-01-03;2011;"4G exports"
"Filipinas critica invasão chinesa ao mar da China Meridional";"1.jun.2011 às 11h48";2011-06-01;2011;"South-China-Sea"
"Novas inundações na China deixam 15 mortos e 25 desaparecidos";"10.jun.2011 às 3h50";2011-06-10;2011;"Flood disaster"
"Falha na sinalização causou acidente de trem que matou 40 na China";"28.dez.2011 às 14h26";2011-12-28;2011;"Train-crash cause"
"Três pessoas são condenados na China por roubar design do iPad 2";"16.jun.2011 às 2h58";2011-06-16;2011;"Patent theft"
"China ainda produz pesquisa com baixa relevância científica";"12.out.2011 às 11h29";2011-10-12;2011;"Research output"
"China pede que militares ignorem rumor de golpe e fecha site";"6.abr.2012 às 12h16";2012-04-06;2012;"Coup rumours"
"China envia navios de guerra a ilhas disputadas com Japão";"13.set.2012 às 22h46";2012-09-13;2012;"Warships dispatch"
"Justiça chinesa condena dissidente a quase 3 anos de prisão";"10.abr.2012 às 10h27";2012-04-10;2012;"Dissident trial"
"Futuro presidente diz que economia da China se abrirá mais ao exterior";"5.dez.2012 às 10h49";2012-12-05;2012;"Economic reform"
"China se prepara para 'baby boom' no ano do dragão";"29.jan.2012 às 11h07";2012-01-29;2012;"Baby boom"
"Capuz para ir à praia, \"Facekini\" vira febre no verão chinês";"17.ago.2012 às 15h11";2012-08-17;2012;"Facekini trend"
"China diz que dará US$ 6 bi para países pobres africanos";"20.jun.2012 às 19h43";2012-06-20;2012;"Aid to Africa"
"Cobre alcança pico em um mês à espera de medidas na China e nos EUA";"23.ago.2012 às 12h41";2012-08-23;2012;"Copper prices"
"Análise: EUA e China dependem demais para ser inimigos e competem demais para ser aliados";"4.nov.2012 às 6h04";2012-11-04;2012;"US-China relations"
"China tem novo caso de autoimolação de monge tibetano";"9.jan.2012 às 7h29";2012-01-09;2012;"Self-immolation"
"Por telefone, presidentes dos EUA e China discutem segurança digital";"14.mar.2013 às 21h08";2013-03-14;2013;"Cybersecurity call"
"Mercado de luxo busca saídas à restrição chinesa a mimos";"1.dez.2013 às 3h24";2013-12-01;2013;"Luxury crackdown"
"Aéreas dos EUA notificam China sobre voos, antes de visita de vice";"1.dez.2013 às 16h54";2013-12-01;2013;"Airlines ADIZ"
"Marinha chinesa busca 'cansar' barcos japoneses em águas disputadas";"6.mar.2013 às 20h49";2013-03-06;2013;"Japan standoff"
"China vira terra fértil de plágios na arquitetura";"11.jan.2013 às 3h25";2013-01-11;2013;"Architecture plagiarism"
"Instituto de pesquisa da China recomenda reformas sociais e agrárias";"28.out.2013 às 17h23";2013-10-28;2013;"Reform report"
"Brasil e China fecham acordo de moedas de US$ 30 bi para facilitar comércio bilateral";"26.mar.2013 às 10h33";2013-03-26;2013;"Currency swap"
"Seguranças carregam Justin Bieber nos ombros durante visita a Muralha da China";"1.out.2013 às 13h28";2013-10-01;2013;"Justin Bieber"
"Temor sobre a China impõe perda de mais de 3% às ações da Vale";"19.mai.2014 às 15h48";2014-05-19;2014;"Vale stock drop"
"China condena fundador do movimento \"Novo Cidadão\" a 4 anos de prisão";"26.jan.2014 às 2h07";2014-01-26;2014;"Activist jailing"
"China intensifica repressão a cultos religiosos";"15.jul.2014 às 2h00";2014-07-15;2014;"Religious crackdown"
"iPhone é perigo à segurança nacional da China, diz mídia estatal";"11.jul.2014 às 10h34";2014-07-11;2014;"iPhone security"
"China é parceiro mais promissor para a AL do que a Rússia, diz \"Economist\"";"28.nov.2008 às 10h18";2008-11-28;NA;"LatAm trade"
"China é parceira estratégica contra crise econômica, diz UE";"30.jan.2009 às 15h26";2009-01-30;NA;"EU partnership"
"China pode passar EUA como maior parceira comercial do Brasil";"22.abr.2009 às 9h20";2009-04-22;NA;"Brazil–China trade"
"China ultrapassa EUA como maior parceiro comercial do Brasil";"4.mai.2009 às 17h19";2009-05-04;NA;"Brazil–China trade"
"Demanda da Petrobras impõe investimento de US$ 5 bi de parceiras, diz BNDES";"20.mai.2009 às 12h28";2009-05-20;NA;"Petrobras suppliers"
"Brasil é parceiro estratégico da Bolsa de Nova York, diz presidente";"17.ago.2009 às 13h52";2009-08-17;NA;"NYSE partnership"
"Lula diz que é preciso tirar \"bunda da cadeira\" para buscar parceiros comerciais; veja vídeo";"25.ago.2009 às 18h56";2009-08-25;NA;"Trade diversification"
"China quer superar EUA como maior parceiro comercial da América Latina";"18.nov.2009 à 0h45";2009-11-18;NA;"Latin-America trade"
