iso3c,source_id,publication_date,url,source_name,metric,period,role,existing_raw_file,query_used
ZAF,zaf_official,2010-03-31,https://www.gov.za/news/speeches/address-south-african-minister-trade-and-industry-dr-31-mar-2010,South African Government / Minister of Trade and Industry,two_way_trade_goods,other,official_context,data/raw/status_cue_salience/extension_2026/ZAF/2010/zaf_gov_davies_2010_03_31/20260922T223447Z.html,Reauditoria da fonte registrada em status_cue_source_evidence_extension.csv para ZAF 2010-03-31
URY,ury_old_first,2013-09-27,https://www.montevideo.com.uy/Noticias/Balanza-comercial-Uruguay-China-uc214666,Montevideo Portal,total_trade_unspecified,other,old_first_cue,data/raw/status_cue_salience/URY/2013/montevideo_portal/ury_montevideo_2013_09_27.html,Reauditoria da fonte registrada em status_cue_source_evidence.csv para URY 2013-09-27
URY,ury_annual_2013,2014-02-04,https://en.mercopress.com/2014/02/04/china-became-uruguay-s-main-trade-partner-in-2013,MercoPress,two_way_trade_goods,annual,annual_confirmation,data/raw/status_cue_salience/URY/2014/mercopress/ury_mercopress_2014_02_04.html,Reauditoria da fonte registrada em status_cue_source_evidence.csv para URY 2014-02-04
URY,ury_earlier_2013_05_23,2013-05-23,https://www.gub.uy/presidencia/comunicacion/noticias/proyectos-comerciales-economicos-marcan-dinamica-del-viaje-delegacion-oficial,Presidencia de Uruguay,total_trade_unspecified,other,earlier_cue_candidate,,site:gub.uy 2013 China principal socio comercial Uruguay mayo gira
URY,ury_earlier_2013_07_24,2013-07-24,https://www.gub.uy/presidencia/comunicacion/noticias/revista-politicas-resume-gira-del-presidente-mujica-china-espana-vaticano,Presidencia de Uruguay,total_trade_unspecified,other,earlier_cue_candidate,,site:gub.uy 2013 China principal socio comercial Uruguay julio revista políticas
NZL,nzl_first,2013-04-26,https://www.scoop.co.nz/stories/BU1304/S00891/china-overtakes-australia-as-nzs-biggest-export-market.htm,Scoop / BusinessDesk,goods_exports,quarter,first_cue,data/raw/status_cue_salience/extension_2026/NZL/2013/nzl_scoop_2013_04_26/20260922T223453Z.html,Reauditoria da fonte registrada em status_cue_source_evidence_extension.csv para NZL 2013-04-26; período janeiro-março de 2013
NZL,nzl_annual_2013,2014-03,https://www.treasury.govt.nz/publications/mei/monthly-economic-indicators-march-2014,New Zealand Treasury,goods_exports,annual,annual_confirmation,,site:treasury.govt.nz 2014 China largest export market 2013 calendar year 22%
KOR,kor_annual_2003_joongang,2004-01-12,https://koreajoongangdaily.joins.com/2004/01/12/columns/91NOTEBOOK93Keep-an-eye-on-USChina-ties/2082857.html,Korea JoongAng Daily,goods_exports,annual,annual_confirmation,,site:koreajoongangdaily.joins.com 2004 China biggest export market Korea last year 2003
CHL,chl_annual_2007_direcon,2008-02,https://sice.oas.org/ctyindex/CHL/DIRECON20074_s.pdf,DIRECON (OAS copy),goods_exports,annual,annual_confirmation,,site:sice.oas.org DIRECON20074_s.pdf comercio exterior Chile cuarto trimestre 2007 China
NZL,nzl_annual_2013_statsnz,2014-01-31,https://www.scoop.co.nz/stories/AK1401/S00649/milk-powder-to-china-leads-to-high-export-levels-in-2013.htm,Statistics New Zealand via Scoop,goods_exports,annual,annual_confirmation,,site:scoop.co.nz 2014 China became our top annual export destination in 2013
