source_id,iso3c,publication_date,source_name,source_type,language,url,metric_in_source,entity_in_source,period_in_source,planned_count,publisher_family,metric_rule_reason,query_used,rank_label_original,source_country,title,rank_label_english,evidence_strength,annual_confirmation_source_id,reevaluated_from,excerpt_under_25_words,notes
per_andina_2011_10_22,PER,2011-10-22,Agencia Andina,national_news_agency,es,https://andina.pe/agencia/noticia-promoveran-asia-fortaleza-economia-peruana-y-como-refugio-inversiones-383178.aspx,total_trade_unspecified,mainland_china,other,yes,Andina,"Current principal partner claim; same publisher family as first cue, does not independently elevate to high.",site:andina.pe 2011 China desplazó Estados Unidos principal socio comercial Perú,"China es el principal socio comercial de Perú, tras desplazar a Estados Unidos",,China principal socio comercial,,strong,,,,
sau_almadina_2012_12_04,SAU,2012-12-04,Al Madina,newspaper,ar,https://www.al-madina.com/article/194366/%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%AD%D8%AC%D9%85-%D8%A7%D9%84%D8%AA%D8%A8%D8%A7%D8%AF%D9%84-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9-%D9%88%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%A5%D9%84%D9%89-6440-%D9%85%D9%84%D9%8A%D8%A7%D8%B1-%D8%AF%D9%88%D9%84%D8%A7%D8%B1,two_way_trade_goods,mainland_china,annual,no,Al Madina,2011 rank appears in consular-supplied copy in Dec 2012; independent Saudi newsroom uptake uncertain.,site:al-madina.com 2012 الصين أكبر شريك تجاري للمملكة,أصبحت الصين أكبر شريك تجاري للمملكة,,أصبحت الصين أكبر شريك تجاري للمملكة,,DO_NOT_COUNT,,,,
sau_alriyadh_2013_01_01,SAU,2013-01-01,Al Riyadh,newspaper,ar,https://alriyadh.com/797699,two_way_trade_goods,mainland_china,other,no,Chinese ambassador,Signed Chinese ambassador opinion based on first ten months 2012; Chinese official source and subannual rank not counted.,site:alriyadh.com 2013 الصين أكبر شريك تجاري للمملكة 2012,أصبحت الصين أكبر شريك تجاري للمملكة,,أصبحت الصين أكبر شريك تجاري للمملكة,,DO_NOT_COUNT,,,,
sau_alriyadh_2013_02_12,SAU,2013-02-12,Al Riyadh,newspaper,ar,https://www.alriyadh.com/809800,two_way_trade_goods,mainland_china,annual,yes,Al Riyadh,Saudi newspaper reports ambassador 2012 full-year two-way rank as current claim.,site:alriyadh.com 2013 فبراير الصين أكبر شريك تجاري للمملكة,الصين أكبر شريك تجاري للمملكة,,الصين أكبر شريك تجاري للمملكة,,strong,,,,
sau_alwatan_2013_02_27,SAU,2013-02-27,Al Watan,newspaper,ar,https://www.alwatan.com.sa/article/173327,two_way_trade_goods,mainland_china,annual,yes,Al Watan,Saudi newsroom article explicitly reports 2012 annual first two-way partner; headline and lede independently adopt status.,site:alwatan.com.sa 2013 الصين الشريك الأول للمملكة,جعلت من الصين الشريك التجاري الأول للمملكة,,الصين الشريك الأول للمملكة,,strong,,,,
phl_psa_2006_09,PHL,2006-10-10,Philippine Statistics Authority,official_statistics,en,https://psa.gov.ph/statistics/export-import/monthly/node/10166,goods_exports,mainland_china,month,no,PSA,September 2006 export table ranks China third; not a cue.,site:psa.gov.ph 2006 China third merchandise exports September Philippines,China third export market,,China third export market,,DO_NOT_COUNT,,,,
phl_psa_2007_12,PHL,2008-02-10,Philippine Statistics Authority,official_statistics,en,https://psa.gov.ph/content/merchandise-export-performance-december-2007,goods_exports,mainland_china,month,no,PSA,December 2007 China below first; not a cue.,site:psa.gov.ph 2007 December China exports top destination Hong Kong,China not first,,China not first,,DO_NOT_COUNT,,,,
rus_km_2011_06_16,RUS,2011-06-16,KM.ru,newspaper,ru,https://ic1.static.km.ru/v-rossii/2011/06/16/biznes-i-predprinimatelstvo-v-mire/putin-nazval-kitai-glavnym-torgovym-partnerom,two_way_trade_goods,mainland_china,annual,yes,KM.ru,Putin explicitly says China overtook Germany in the previous year (2010); newsroom lede mistakenly says full 2011 despite publication in June 2011.,site:km.ru 2011 Путин Китай обогнал Германию главный торговый партнер,КНР обогнала ФРГ и вышла на первое место среди наших торговых партнеров по итогам прошлого года,,Китай вышел на первое место,,strong,,,,
rus_vedomosti_2011_02_08,RUS,2011-02-08,Vedomosti,newspaper,ru,https://www.vedomosti.ru/business/news/2011/02/08/vneshnetorgovyj_oborot_rossii_v_2010_godu_vyros_na_tret_fts,two_way_trade_goods,mainland_china,annual,no,Vedomosti,"FTS full-calendar 2010 ranking in local paper covers non-CIS countries only; statistical context, not standalone confirmation of the global China-first partner rank, and no explicit first-rank label.",site:vedomosti.ru 2011 февраль Китай крупнейший торговый партнер России 2010,"Китай 59,3 млрд",,"Китай 59,3 млрд",,DO_NOT_COUNT,,,,
rus_vedomosti_2014_02_12,RUS,2014-02-12,Vedomosti,newspaper,ru,https://www.vedomosti.ru/finance/news/2014/02/12/fts-kitaj-stal-krupnejshim-torgovym-partnerom-rossii-v-2013,two_way_trade_goods,mainland_china,annual,yes,Vedomosti,Clear 2013 full-year China-first two-way status; within 2009-2015 window.,site:vedomosti.ru 2014 Китай крупнейшим торговым партнером России 2013,Китай стал крупнейшим торговым партнером,,Китай стал крупнейшим торговым партнером,,strong,,,,
kaz_stats_2007_report,KAZ,2009,Kazakhstan Statistics Agency,official_statistics,ru,https://stat.gov.kz/upload/iblock/0e3/zob3n4rq862csw2db7qxz6flv3zx4zxb/%D0%9A%D0%B0%D0%B7_%D0%B2_%D1%80%D0%B5%D1%84%D0%BE%D1%80%D0%BC_%D1%80%D1%83%D1%81.pdf,unspecified,mainland_china,annual,no,Kazstat,2007 report puts Russia ahead of China for imports; imports fall outside this metric enum; publication day/month unknown.,site:stat.gov.kz 2007 Китай Россия торговые партнеры Казахстан,Россия первая Китай второй,,Россия первая Китай второй,,DO_NOT_COUNT,,,,
ago_bni_2008_report,AGO,2009,Banco BNI Angola,corporate_report,pt,https://www.bni.ao/media/1348/relatorio-e-contas-31_12_2008.pdf,goods_exports,mainland_china,annual,no,BNI,"BNI China-first claim is limited to mineral exports, an excluded sector; publication day/month unknown.",site:bni.ao 2008 China principal destino exportações minerais Angola,China principal destino minerais,,China principal destino minerais,,DO_NOT_COUNT,,,,
cod_bcc_2009_report,COD,2010,Banque Centrale du Congo,official_statistics,fr,https://www.bcc.cd/system/files_force/publications/rapport_an_2009.pdf/?download=1,goods_exports,mainland_china,annual,no,BCC,Possible China-first 2009 goods exports; precise report publication date and whole-export context need verification.,site:bcc.cd rapport annuel 2009 Chine premier rang destinations exportations,premier rang la Chine,,premier rang la Chine,,DO_NOT_COUNT,,,,
mrt_ami_2006_10_19,MRT,2006-10-19,Agence Mauritanienne d Information,national_news_agency,ar,https://www.ami.mr/archives/860,unspecified,mainland_china,other,no,AMI,Bilateral cooperation article has no explicit China-first trade rank.,site:ami.mr 2006 Chine Mauritanie premier partenaire commercial,,,توقيع ابوروتوكول تعاون بين موريتانيا والصين,,DO_NOT_COUNT,,,,
mrt_ami_2007_08_07,MRT,2007-08-07,Agence Mauritanienne d Information,national_news_agency,ar,https://www.ami.mr/archives/676,unspecified,mainland_china,other,no,AMI,Bilateral cooperation article has no explicit China-first trade rank.,site:ami.mr 2007 Chine Mauritanie premier partenaire commercial,,,وزير التجارة والصناعة يستقبل سفير جمهورية الصين الشعبية,,DO_NOT_COUNT,,,,
mmr_irrawaddy_2012_04_04,MMR,2012-04-04,The Irrawaddy,newspaper,en,https://www.irrawaddy.com/elections/muted-coverage-of-burmese-vote-shows-chinese-unease.html,total_trade_unspecified,mainland_china,other,yes,Irrawaddy,Local newsroom labels China Burma largest trading partner in contemporary report.,site:irrawaddy.com 2012 Burma China largest trading partner,largest trading partner,,largest trading partner,,strong,,,,
mmr_irrawaddy_2012_11_20,MMR,2012-11-20,The Irrawaddy,newspaper,en,https://www.irrawaddy.com/news/burma/generals-at-chinese-arms-fair-before-obama-visit.html,total_trade_unspecified,mainland_china,other,yes,Irrawaddy,Second contemporary local mention; same publisher family as first.,site:irrawaddy.com 2012 China Burma biggest trading partner,largest trading partner,,largest trading partner,,strong,,,,
mmr_dvb_2014_05_09,MMR,2014-05-09,Democratic Voice of Burma,local_news,en,https://english.dvb.no/?p=40522,two_way_trade_goods,mainland_china,fiscal_year,yes,DVB,Local broadcaster cites ministry FY2013-14 China-first partner rank.,site:english.dvb.no 2014 China Burma top trading partner ministry,China still Burma’s top trading partner,,China top trading partner,,strong,,,,
sle_telegraph_2013,SLE,2013,Sierra Leone Telegraph,newspaper,en,https://www.thesierraleonetelegraph.com/chinas-trade-with-africa-soars/,total_trade_unspecified,unclear,other,no,Sierra Leone Telegraph,"Article says China first for Africa overall, not Sierra Leone; date/URL need verification.",site:thesierraleonetelegraph.com 2013 China Africa largest trading partner,China Africa largest trading partner,,China Africa largest trading partner,,DO_NOT_COUNT,,,,
eri_shabait_2015_11_27,ERI,2015-11-27,Shabait,official_release,en,https://shabait.com/2015/11/27/cooperation-versus-isolation-where-does-eritrea-stand-2/,unspecified,mainland_china,other,no,Shabait,State press discusses cooperation but no verified China-first country rank.,site:shabait.com 2015 Eritrea China largest trading partner,China Eritrea cooperation,,China Eritrea cooperation,,DO_NOT_COUNT,,,,
tkm_gov_2011_11_23,TKM,2011-11-23,Turkmenistan State News Agency,official_release,ru,https://turkmenistan.gov.tm/index.php/ru/post/16011/turkmenistan--kitaiskaya-narodnaya-respublika%3A-sotrudnichestvo-vo-imya-vseobschego-razvitiya,two_way_trade_goods,mainland_china,other,yes,Turkmen state,Turkmen state news agency explicitly uses current China-first foreign-trade partner language on November 23; the report does not delimit a subannual period.,site:turkmenistan.gov.tm 2011 Китай крупнейший внешнеторговый партнер Туркменистана,Сегодня Китайская Народная Республика является самым крупным внешнеторговым партнером Туркменистана,,Китай крупнейший внешнеторговый партнер,,strong,,,,
tkm_gov_2011_11_24,TKM,2011-11-24,Turkmenistan State News Agency,official_release,ru,https://turkmenistan.gov.tm/index.php/ru/post/16015/turkmenistan-kitai%3A-strategicheski-vazhnoe-partnerstvo,two_way_trade_goods,mainland_china,other,no,Turkmen state,"2010 China fourth; January-September 2011 first, without annual confirmation.",site:turkmenistan.gov.tm 2011 Китай 2010 четвертое девять месяцев первое торговых партнеров,Китай первый девять месяцев,,Китай первый девять месяцев,,DO_NOT_COUNT,,,,
tkm_gov_2012_06_07,TKM,2012-06-07,Turkmenistan State News Agency,official_release,en,https://turkmenistan.gov.tm/index.php/en/post/904/the-talks-between-the-president-of-turkmenistan-and-the-chairman-of-people%E2%80%99s-republic-of-china-in-beijing,two_way_trade_goods,mainland_china,other,yes,Turkmen state,Official current first trading-partner statement not tied explicitly to subannual data.,site:turkmenistan.gov.tm 2012 China largest trading partner Turkmenistan president,At present China ranks the first in the total volume of the foreign trade turnover of Turkmenistan,,China largest foreign trade partner,,strong,,,,
tkm_gov_2013_09_03,TKM,2013-09-03,Turkmenistan State News Agency,official_release,ru,https://turkmenistan.gov.tm/ru/post/20374/turkmenistan-i-knr-obyavili-ob-ustanovlenii-otnoshenii-strategicheskogo-partnerstva,two_way_trade_goods,mainland_china,annual,no,Turkmen state,The available article gives 2012 bilateral trade but no countrywide China-first rank.,site:turkmenistan.gov.tm 2013 Китай крупнейший торговый партнер 2012 Туркменистан,Китай крупнейший торговый партнер,,Китай крупнейший торговый партнер,,DO_NOT_COUNT,,,,
rus_bfm_2011_01_14,RUS,2011-01-14,Business FM,business_news,ru,https://www.bfm.ru/news/120007,two_way_trade_goods,mainland_china,other,yes,Business FM,January-November 2010 China-first two-way goods cue; Putin quote in KM.ru confirms China first among all Russian trading partners for full 2010. Vedomosti 2011-02-08 is additional context but restricts its rank to non-CIS countries.,site:bfm.ru 2011 Китай крупнейшим торговым партнером России 11 месяцев 2010,крупнейшим торговым партнером России стал Китай,,РФ в 2010 году нарастила импорт из дальнего зарубежья на 36%,,strong,rus_km_2011_06_16,,,
slb_cbsi_2004,SLB,2005-05,Central Bank of Solomon Islands,official_statistics,en,https://www.cbsi.com.sb/wp-content/uploads/2016/09/AR-2004.pdf,goods_exports,mainland_china,annual,no,CBSI,2004 annual report discusses China as global economy; no explicit countrywide China-first rank recovered.,site:cbsi.com.sb 2004 annual report China Solomon Islands exports trade partner,China in report,,Central Bank of Solomon Islands,,DO_NOT_COUNT,,,,
sle_awoko_2015_10_16_reprint,SLE,2015-10-16,Awoko (Africa Updates copy),newspaper,en,https://www.africaupdates.com/news/sierra-leone-news-new-airport-will-bring-economic-benefits-to-salone-zou-xiaoming-m5908/2015/10/17,total_trade_unspecified,mainland_china,other,no,Awoko,Local Awoko interview exists only in third-party copy; status phrase is attributed to Chinese economic counsellor; original publication and independent uptake not directly archived.,"""New Airport Will Bring Economic Benefits To Salone"" Awoko Zou Xiaoming China",China is the largest trading partner to Sierra Leone,,Awoko (Africa Updates copy),,DO_NOT_COUNT,,,,
rus_bfm_2009_06_17,RUS,2009-06-17,Business FM,business_news,ru,https://www.bfm.ru/news/83885,two_way_trade_goods,mainland_china,quarter,no,Business FM,"First quarter 2009 China first in two-way goods, but completed 2009 annual Germany and Netherlands exceed China; no matching annual confirmation.",site:bfm.ru Китай крупнейший торговый партнер России 2009 2010 Германия,Китай вышел на первое место по объему товарооборота с Россией,,,,DO_NOT_COUNT,,,,
rus_2009_annual_partner_order,RUS,2010-02,Ekonomika i Zhizn,business_news,ru,https://www.eg-online.ru/article/92208/,two_way_trade_goods,mainland_china,annual,no,Ekonomika i Zhizn,"Completed 2009 goods trade gives Netherlands and Germany 8.5% each; China 8.4%, invalidating the Q1 cue under the annual-confirmation rule.",Россия крупнейший торговый партнер 2009 итоги года Германия Китай товарооборот ФТС 2009,"Нидерланды и Германия — по 8,5%; Китай — 8,4%",,,,DO_NOT_COUNT,,,,
kaz_inform_2010_02_08,KAZ,2010-02-08,Kazinform,national_news_agency,ru,https://www.inform.kz/ru/franciya-zanimaet-4-mesto-sredi-zarubezhnyh-torgovyh-partnerov-kazahstana-ministr-ekonomiki-i-byudzhetnogo-planirovaniya-rk_a2236081,two_way_trade_goods,mainland_china,annual,no,Kazinform,"Minister calls France fourth after China, Russia and Italy for full 2009; the three are not individually ranked, and annual statistics put Russia ahead of China.",site:inform.kz 2007 2008 2009 Китай Россия Италия крупнейший торговый партнер Казахстана,"после Китая, России и Италии",,,,DO_NOT_COUNT,,,,
kaz_stats_2009_full,KAZ,2010,Kazakhstan Statistics Agency,official_statistics,ru,https://stat.gov.kz/upload/iblock/f78/yxd2m2makmtaqvxgwrg1218kt28178ks/%D0%A1%D1%82%D0%B0%D1%82%20%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7%D0%B0%D1%82%D0%B5%D0%BB%D0%B8%20%D0%B8%D0%BD%D1%82%D0%B5%D1%80_3%20%D0%BA%D0%B2.pdf,two_way_trade_goods,mainland_china,annual,no,Kazstat,"Full 2009 export+import values imply Russia 12.44bn versus China 9.46bn; no China-first label, and ministerial ordering cannot be taken as first rank.",site:stat.gov.kz 2009 Китай Россия Италия торговые партнеры Казахстан,Россия 12.44 млрд; Китай 9.46 млрд,,,,DO_NOT_COUNT,,,,
ago_ine_2008_annual,AGO,2009-06,Instituto Nacional de Estatística de Angola (third-party mirror),official_statistics,pt,https://br.doczz.net/doc/198268/untitled---repcomang,goods_exports,mainland_china,annual,yes,INE Angola,"INE Angola annual for 2008, signed Luanda June 2009, ranks China first among total goods-export destinations; exact day not printed in the publication.","""Os principais Parceiros das Exportações angolanas durante o ano de 2008"" China","Os principais Parceiros das Exportações angolanas durante o ano de 2008, foram a China, os Estados Unidos",,,,moderate,,,,
sau_aleqt_2014_03_16,SAU,2014-03-16,Al Eqtisadiah,newspaper,ar,https://www.aleqt.com/2014/03/16/article_833617.html,two_way_trade_goods,mainland_china,annual,no,Al Eqtisadiah,Saudi GASTAT 2012 goods-turnover figures in local financial newspaper put China second after United States (and third as Saudi export destination); contrasts with 2013 Al Watan China-first claim sourced to Chinese ambassador.,site:aleqt.com 2013 الصين الشريك التجاري الأول للسعودية 2012,الصين ثاني أهم شريك تجاري للسعودية بعد الولايات المتحدة,,1.5 تريليون ريال مبادلات تجارية بين السعودية والصين خلال 10 سنوات,,DO_NOT_COUNT,,,,
